,breed,breed_url,breed_image,breed_group,weight,height,life_expectancy,breed_temperament,pdf_breed_standard,akc_breed_popularity
67,Carolina Dog,https://www.akc.org/dog-breeds/carolina-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12191255/Carolina-Dog-Care.jpg,Foundation Stock Service,30-55 pounds,17.75-19.5 inches,,"['Loyal', ' Independent', ' Reserved with Strangers']",,
68,Catahoula Leopard Dog,https://www.akc.org/dog-breeds/catahoula-leopard-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14120959/AdobeStock_51048478.jpg,Foundation Stock Service,50-95 pounds,22-24 inches,10-14 years,"['Loyal', ' Independent', ' Watchful']",,
69,Caucasian Shepherd Dog,https://www.akc.org/dog-breeds/caucasian-shepherd-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14132805/GettyImages-899326062.jpg,Foundation Stock Service,99-170 pounds,23-30 inches,10-12 years,"['Fearless', ' Bold', ' Kind']",http://www.fci.be/Nomenclature/Standards/328g02-en.pdf,
70,Cavalier King Charles Spaniel,https://www.akc.org/dog-breeds/cavalier-king-charles-spaniel/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/07/13003705/Cavalier-King-Charles-Spaniel-Care.jpg,Toy Group,13-18 pounds,12-13 inches,12-15 years,"['Affectionate', ' Gentle', ' Graceful']",http://images.akc.org/pdf/breeds/standards/CavalierKingCharlesSpaniel.pdf,Ranks 18 of 195
71,Central Asian Shepherd Dog,https://www.akc.org/dog-breeds/central-asian-shepherd-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12190057/Central-Asian-Shepherd-Dog-Care.jpg,Foundation Stock Service,Minimum: 88-110 pounds,Minimum: 25.5-27.5 inches,,"['Independent', ' Courageous', ' Self-Confident']",http://www.fci.be/Nomenclature/Standards/335g02-en.pdf,
72,Cesky Terrier,https://www.akc.org/dog-breeds/cesky-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15131112/Cesky-Terrier-Care2-500x750.jpg,Terrier Group,14-24 pounds,10-13 inches,12-15 years,"['Clever', ' Adventurous', ' Family-Oriented']",http://images.akc.org/pdf/Standard_Cesky_Terrier.pdf,Ranks 185 of 195
73,Chesapeake Bay Retriever,https://www.akc.org/dog-breeds/chesapeake-bay-retriever/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31153346/Chesapeake-Bay-Retriever-head-protrait.jpg,Sporting Group,"65-80 pounds (male), 55-70 pounds (female)","23-26 inches (male), 21-24 inches (female)",10-13 years,"['Affectionate', ' Bright', ' Sensitive']",http://images.akc.org/pdf/breeds/standards/ChesapeakeBayRetriever.pdf,Ranks 45 of 195
74,Chihuahua,https://www.akc.org/dog-breeds/chihuahua/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234746/Chihuahua-Care.jpg,Toy Group,not exceeding 6 pounds,5-8 inches,14-16 years,"['Charming', ' Graceful', ' Sassy']",http://images.akc.org/pdf/breeds/standards/Chihuahua.pdf,Ranks 33 of 195
75,Chinese Crested,https://www.akc.org/dog-breeds/chinese-crested/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234701/Chinese-Crested-Care.jpg,Toy Group,8-12 pounds,11-13 inches,13-18 years,"['Affectionate', ' Alert', ' Lively']",http://images.akc.org/pdf/breeds/standards/ChineseCrested.pdf,Ranks 79 of 195
76,Chinese Shar-Pei,https://www.akc.org/dog-breeds/chinese-shar-pei/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213428/Chinese-Sharpei-Care.jpg,Non-Sporting Group,45-60 pounds,18-20 inches,8-12 years,"['Loyal', ' Independent', ' Calm']",http://images.akc.org/pdf/breeds/standards/ChineseSharPei.pdf,Ranks 64 of 195
77,Chinook,https://www.akc.org/dog-breeds/chinook/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29185831/Chinook.care_.jpg,Working Group,"55-90 pounds (male), 50-65 pounds (female)","24-26 inches (male), 22-24 inches (female)",12-15 years,"['Smart', ' Patient', ' Devoted']",http://images.akc.org/pdf/breeds/standards/Chinook.pdf,Ranks 190 of 195
78,Chow Chow,https://www.akc.org/dog-breeds/chow-chow/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234550/Chow-Chow-Care-500x749.jpg,Non-Sporting Group,45-70 pounds,17-20 inches,8-12 years,"['Dignified', ' Bright', ' Serious-Minded']",http://images.akc.org/pdf/breeds/standards/ChowChow.pdf,Ranks 75 of 195
79,Cirneco dell’Etna,https://www.akc.org/dog-breeds/cirneco-delletna/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12215522/Cirneco-Dell-Etna-Care.jpg,Hound Group,"22-26 pounds (male), 17-22 pounds (female)","18-19.5 inches (male), 16.5-18 inches (female)",12-14 years,"['Affectionate', ' Friendly', ' Independent']",http://images.akc.org/pdf/breeds/standards/CirnecodellEtna.pdf,Ranks 183 of 195
80,Clumber Spaniel,https://www.akc.org/dog-breeds/clumber-spaniel/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/16133529/Clumber-Spaniel-Care2.jpg,Sporting Group,"70-85 pounds (male), 55-70 pounds (female)","18-20 inches (male), 17-19 inches (female)",10-12 years,"['Mellow', ' Amusing', ' Gentlemanly']",http://images.akc.org/pdf/breeds/standards/ClumberSpaniel.pdf,Ranks 143 of 195
81,Cocker Spaniel,https://www.akc.org/dog-breeds/cocker-spaniel/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30234656/Cocker-Spaniel-care1.jpg,Sporting Group,"25-30 pounds (male), 20-25 pounds (female)","14.5-15.5 inches (male), 13.5-14.5 inches (female)",10-14 years,"['Gentle', ' Smart', ' Happy']",http://images.akc.org/pdf/breeds/standards/Cocker_Spaniel.pdf,Ranks 30 of 195
82,Collie,https://www.akc.org/dog-breeds/collie/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17172701/Smooth-Coated-Collie-standing-in-a-field.jpg,Herding Group,"60-75 pounds (male), 50-65 pounds (female)","24-26 inches (male), 22-24 inches (female)",12-14 years,"['Devoted', ' Graceful', ' Proud']",http://images.akc.org/pdf/breeds/standards/Collie.pdf,Ranks 38 of 195
83,Coton de Tulear,https://www.akc.org/dog-breeds/coton-de-tulear/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213912/Coton-De-Tulear-Care.jpg,Non-Sporting Group,"9-15 pounds (male), 8-13 pounds (female)","10-11 inches (male), 9-10 inches (female)",15-19 years,"['Charming', ' Bright', ' Happy-Go-Lucky']",http://images.akc.org/pdf/breeds/standards/CotondeTulear.pdf,Ranks 81 of 195
84,Croatian Sheepdog,https://www.akc.org/dog-breeds/croatian-sheepdog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/05/16193535/Croatian-Sheepdog.3.jpg,Foundation Stock Service,29-44 pounds,16-20 inches,13-14 years,"['Loyal', ' Active', ' Alert and Intelligent']",http://www.fci.be/Nomenclature/Standards/277g01-en.pdf,
85,Curly-Coated Retriever,https://www.akc.org/dog-breeds/curly-coated-retriever/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/16142111/Curly-Coated-Retriever-Care1.jpg,Sporting Group,60-95 pounds,"25-27 inches (male), 23-25 inches (female)",10-12 years,"['Confident', ' Proud', ' Wickedly Smart']",http://images.akc.org/pdf/breeds/standards/CurlyCoatedRetriever.pdf,Ranks 162 of 195
86,Czechoslovakian Vlcak,https://www.akc.org/dog-breeds/czechoslovakian-vlcak/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09131736/Three-Czechoslovakian-Vlcak.jpg,Foundation Stock Service,Minimum: 44-57 pounds,Minimum: 23.5-25.5 inches,10-15 years,"['Loyal', ' Intelligent', ' Active']",http://www.fci.be/Nomenclature/Standards/332g01-en.pdf,
87,Dachshund,https://www.akc.org/dog-breeds/dachshund/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234142/Dachshund-Care.jpg,Hound Group,"16-32 pounds (standard), 11 pounds & under (miniature)","8-9 inches (standard), 5-6 inches (miniature)",12-16 years,"['Friendly', ' Curious', ' Spunky']",http://images.akc.org/pdf/breeds/standards/Official_Standard_Dachshund.pdf,Ranks 12 of 195
88,Dalmatian,https://www.akc.org/dog-breeds/dalmatian/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234047/Dalmatian-Care-500x749.jpg,Non-Sporting Group,45-70 pounds,19-24 inches,11-13 years,"['Dignified', ' Smart', ' Outgoing']",http://images.akc.org/pdf/breeds/standards/Dalmatian.pdf,Ranks 56 of 195
89,Dandie Dinmont Terrier,https://www.akc.org/dog-breeds/dandie-dinmont-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27180626/Dandie-Dinmont-Terrier.jpg,Terrier Group,18-24 pounds,8-11 inches,12-15 years,"['Independent', ' Smart', ' Proud']",http://images.akc.org/pdf/breeds/standards/DandieDinmontTerrier.pdf,Ranks 176 of 195
90,Danish-Swedish Farmdog,https://www.akc.org/dog-breeds/danish-swedish-farmdog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14200627/GettyImages-186602828.jpg,Foundation Stock Service,15-20 pounds,12.5-14.5 inches,11-13 years,"['Energetic', ' Trainable', ' Attentive']",http://www.fci.be/Nomenclature/Standards/356g02-en.pdf,
91,Deutscher Wachtelhund,https://www.akc.org/dog-breeds/deutscher-wachtelhund/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/18181117/Deutscher-Wachtel-Care.jpg,Foundation Stock Service,40-55 pounds,18-21 inches,12-14 years,"['Friendly', ' Versatile', ' Determined']",http://www.fci.be/Nomenclature/Standards/104g08-en.pdf,
92,Doberman Pinscher,https://www.akc.org/dog-breeds/doberman-pinscher/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224809/Doberman-Pinscher-head-portrait.jpg,Working Group,"75-100 pounds (male), 60-90 pounds (female)","26-28 inches (male), 24-26 inches (female)",10-12 years,"['Loyal', ' Fearless', ' Alert']",http://images.akc.org/pdf/breeds/standards/DobermanPinscher.pdf,Ranks 17 of 195
93,Dogo Argentino,https://www.akc.org/dog-breeds/dogo-argentino/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11141818/Dogo.Care_.jpg,Working Group,"88-100 pounds (male), 88-95 pounds (female)","24-26.5 inches (male), 24-25.5 inches (female)",9-15 years,"['Friendly', ' Cheerful', ' Humble']",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26090450/Official-Standard-for-the-Dogo-Argentino-11.12.18-for-website-packet-print-CORRECTED-02.26.19.pdf,Ranks  of 195
94,Dogue de Bordeaux,https://www.akc.org/dog-breeds/dogue-de-bordeaux/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213918/Dogue-De-Bordeaux-Care.jpg,Working Group,"110 pounds & up (male), 99 pounds & up (female)","23.27 inches (male), 23-26 inches (female)",5-8 years,"['Affectionate', ' Loyal', ' Courageous']",http://images.akc.org/pdf/breeds/standards/DoguedeBordeaux.pdf,Ranks 67 of 195
95,Drentsche Patrijshond,https://www.akc.org/dog-breeds/drentsche-patrijshond/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205817/Drentsche-Patrijshond-Care.jpg,Foundation Stock Service,48-73 pounds,21-25 inches,11–14 years,"['Loyal', ' Intelligent', ' Sensitive']",http://www.fci.be/Nomenclature/Standards/224g07-en.pdf,
96,Drever,https://www.akc.org/dog-breeds/drever/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/18182342/Drever-standing-indoors.jpg,Foundation Stock Service,35-40 pounds,12-15 inches,~15 years,"['Loyal', ' Even-Tempered', ' Determined']",http://www.fci.be/Nomenclature/Standards/130g06-en.pdf,
97,Dutch Shepherd,https://www.akc.org/dog-breeds/dutch-shepherd/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28144627/Dutch-Shepherd.jpg,Miscellaneous Class,42-75 pounds,21.5-24.5 inches,11-14 years,"['Intelligent', ' Lively', ' Athletic']",http://images.akc.org/pdf/breeds/standards/Official_Standard_for_the_Dutch_Shepherd_01.01.17.pdf,
98,English Cocker Spaniel,https://www.akc.org/dog-breeds/english-cocker-spaniel/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233753/English-Cocker-Spaniel-Care.jpg,Sporting Group,"28-34 pounds (male), 26-32 pounds (female)","16-17 inches (male), 15-16 inches (female)",12-14 years,"['Energetic', ' Merry', ' Responsive']",http://images.akc.org/pdf/breeds/standards/EnglishCockerSpaniel.pdf,Ranks 52 of 195
99,English Foxhound,https://www.akc.org/dog-breeds/english-foxhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233719/English-Foxhound-Care.jpg,Hound Group,60-75 pounds,24 inches,10-13 years,"['Affectionate', ' Gentle', ' Sociable']",http://images.akc.org/pdf/breeds/standards/EnglishFoxhound.pdf,Ranks 188 of 195
100,English Setter,https://www.akc.org/dog-breeds/english-setter/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17112407/English-Setter-Care1.jpg,Sporting Group,"65-80 pounds (male), 45-55 pounds (female)","25-27 inches (male), 23-25 inches (female)",12 years,"['Friendly', ' Mellow', ' Merry']",http://images.akc.org/pdf/breeds/standards/EnglishSetter.pdf,Ranks 94 of 195
101,English Springer Spaniel,https://www.akc.org/dog-breeds/english-springer-spaniel/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17144920/English-Springer-Spaniel-Care1.jpg,Sporting Group,"50 pounds (male), 40 pounds (female)","20 inches (male), 19 inches (female)",12-14 years,"['Friendly', ' Playful', ' Obedient']",http://images.akc.org/pdf/breeds/standards/EnglishSpringerSpaniel.pdf,Ranks 27 of 195
102,English Toy Spaniel,https://www.akc.org/dog-breeds/english-toy-spaniel/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233529/English-Toy-Spaniel-Care.jpg,Toy Group,8-14 pounds,9-10 inches,10-12 years,"['Gentle', ' Playful', ' Intelligent']",http://images.akc.org/pdf/breeds/standards/EnglishToySpaniel.pdf,Ranks 135 of 195
103,Entlebucher Mountain Dog,https://www.akc.org/dog-breeds/entlebucher-mountain-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25013402/Entlebucher-Mountain-Dog-Care.jpg,Herding Group,"50-65 pounds (male), 40-55 pounds (female)","17-21 inches (male), 16-20 inches (female)",11-13 years,"['Loyal', ' Smart', ' Enthusiastic']",http://images.akc.org/pdf/breeds/standards/EntlebucherMountainDog.pdf,Ranks 157 of 195
104,Estrela Mountain Dog,https://www.akc.org/dog-breeds/estrela-mountain-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13173902/Beau.Care_.jpg,Foundation Stock Service,77-132 pounds,24.5-29 inches,10-14 years,"['Alert', ' Intelligent', ' Brave']",http://www.fci.be/Nomenclature/Standards/173g02-en.pdf,
105,Eurasier,https://www.akc.org/dog-breeds/eurasier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28173002/Eurasier-care1.jpg,Foundation Stock Service,40-70 pounds,19-24 inches,12-16 years,"['Confident', ' Calm', ' Family-Oriented']",http://www.fci.be/Nomenclature/Standards/291g05-en.pdf,
106,Field Spaniel,https://www.akc.org/dog-breeds/field-spaniel/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17173904/Field-Spaniel-Care1.jpg,Sporting Group,35-50 pounds,"18 inches (male), 17 inches (female)",12-13 years,"['Sweet', ' Fun-Loving', ' Sensitive']",http://images.akc.org/pdf/breeds/standards/FieldSpaniel.pdf,Ranks 149 of 195
107,Finnish Lapphund,https://www.akc.org/dog-breeds/finnish-lapphund/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233335/Finnish-Lapphund-Care.jpg,Herding Group,33-53 pounds,"18-21 inches (male), 16-19 inches (female)",12-15 years,"['Friendly', ' Alert', ' Agile']",http://images.akc.org/pdf/breeds/standards/Finnish_Lapphund.pdf,Ranks 161 of 195
108,Finnish Spitz,https://www.akc.org/dog-breeds/finnish-spitz/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233309/Finnish-Spitz-Care.jpg,Non-Sporting Group,"25-33 pounds (male), 20-28 pounds (female)","17.5-20 inches (male), 15.5-18 inches (female)",13-15 years,"['Friendly', ' Good-Natured', ' Lively']",http://images.akc.org/pdf/breeds/standards/FinnishSpitz.pdf,Ranks 184 of 195
109,Flat-Coated Retriever,https://www.akc.org/dog-breeds/flat-coated-retriever/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17182711/Flat-coated-Retriever-Care1.jpg,Sporting Group,60-70 pounds,"23-24.5 inches (male), 22-23.5 inches (female)",8-10 years,"['Cheerful', ' Optimistic', ' Good-Humored']",http://images.akc.org/pdf/breeds/standards/FlatCoatedRetriever.pdf,Ranks 91 of 195
110,French Bulldog,https://www.akc.org/dog-breeds/french-bulldog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12153547/Alik-Gorodok-Na-Buge-CGC-NP20739701.jpg,Non-Sporting Group,under 28 pounds,11-13 inches,10-12 years,"['Adaptable', ' Playful', ' Smart']",http://images.akc.org/pdf/breeds/standards/French_Bulldog-6-18.pdf,Ranks 4 of 195
111,French Spaniel,https://www.akc.org/dog-breeds/french-spaniel/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/18234223/French-Spaniel-sit.jpg,Foundation Stock Service,50-60 pounds,21.5-24 inches,10-12 years,"['Gentle', ' Sociable', ' Intelligent']",http://www.fci.be/Nomenclature/Standards/175g07-en.pdf,
112,German Longhaired Pointer,https://www.akc.org/dog-breeds/german-longhaired-pointer/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28165040/German-Longhaired-Pointer-Care.jpg,Foundation Stock Service,55-80 pounds,22-28 inches,12-14 years,"['Versatile', ' Calm', ' Family-Oriented']",http://www.fci.be/Nomenclature/Standards/117g07-en.pdf,
113,German Pinscher,https://www.akc.org/dog-breeds/german-pinscher/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233145/German-Pinscher-Care.jpg,Working Group,25-45 pounds,17-20 inches,12-14 years,"['Courageous', ' Intelligent', ' Vivacious']",http://images.akc.org/pdf/breeds/standards/GermanPinscher.pdf,Ranks 134 of 195
114,German Shepherd Dog,https://www.akc.org/dog-breeds/german-shepherd-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22170345/German-Shepherd-Dog-with-a-vest-running.jpg,Herding Group,"65-90 pounds (male), 50-70 pounds (female)","24-26 inches (male), 22-24 inches (female)",7-10 years,"['Confident', ' Courageous', ' Smart']",http://images.akc.org/pdf/breeds/standards/GermanShepherdDog.pdf,Ranks 2 of 195
115,German Shorthaired Pointer,https://www.akc.org/dog-breeds/german-shorthaired-pointer/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12191213/German-Shorthaired-Pointer-Care-2.jpg,Sporting Group,"55-70 pounds (male), 45-60 pounds (female)","23-25 inches (male), 21-23 inches (female)",10-12 years,"['Friendly', ' Smart', ' Willing to Please']",http://images.akc.org/pdf/breeds/standards/GermanShorthairedPointer.pdf,Ranks 9 of 195
116,German Spitz,https://www.akc.org/dog-breeds/german-spitz/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28192036/Closeup-of-a-German-Spitz-face.jpg,Foundation Stock Service,24-26 pounds,12-15 inches,13-15 years,"['Devoted', ' Lively', ' Attentive']",http://www.fci.be/Nomenclature/Standards/097g05-en.pdf,
117,German Wirehaired Pointer,https://www.akc.org/dog-breeds/german-wirehaired-pointer/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232926/German-Wirehaired-Pointer-Care.jpg,Sporting Group,50-70 pounds,"24-26 inches (male), minimum 22 inches (female)",14-16 years,"['Affectionate', ' Eager', ' Enthusiastic']",http://images.akc.org/pdf/breeds/standards/GermanWirehairedPointer.pdf,Ranks 63 of 195
118,Giant Schnauzer,https://www.akc.org/dog-breeds/giant-schnauzer/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232858/Giant-Schnauzer-Care.jpg,Working Group,"60-85 pounds (male), 55-75 pounds (female)","25.5-27.5 inches (male), 23.5-25.5 inches (female)",12-15 years,"['Loyal', ' Alert', ' Trainable']",http://images.akc.org/pdf/breeds/standards/GiantSchnauzer.pdf,Ranks 78 of 195
119,Glen of Imaal Terrier,https://www.akc.org/dog-breeds/glen-of-imaal-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232832/Glen-of-Imaal-Terrier-Care.jpg,Terrier Group,32-40 pounds,12.5-14 inches,10-15 years,"['Gentle', ' Spirited', ' Bold']",http://images.akc.org/pdf/breeds/standards/GlenofImaalTerrier.pdf,Ranks 174 of 195
120,Golden Retriever,https://www.akc.org/dog-breeds/golden-retriever/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12133017/Golden-Care.jpg,Sporting Group,"65-75 pounds (male), 55-65 pounds (female)","23-24 inches (male), 21.5-22.5 inches (female)",10-12 years,"['Friendly', ' Intelligent', ' Devoted']",http://images.akc.org/pdf/breeds/standards/GoldenRetriever.pdf,Ranks 3 of 195
121,Gordon Setter,https://www.akc.org/dog-breeds/gordon-setter/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01131128/Gordon-Setter-care1.jpg,Sporting Group,"55-80 pounds (male), 45-70 pounds (female)","24-27 inches (male), 23-26 inches (female)",12-13 years,"['Affectionate', ' Confident', ' Bold']",http://images.akc.org/pdf/breeds/standards/GordonSetter.pdf,Ranks 115 of 195
122,Grand Basset Griffon Vendéen,https://www.akc.org/dog-breeds/grand-basset-griffon-vendeen/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31171719/GBGV-care.jpg,Hound Group,40-45 pounds,15.5-18 inches,13-15 years,"['Independent', ' Happy', ' Outgoing']",http://images.akc.org/pdf/breeds/standards/GBGV.pdf,Ranks 177 of 195
123,Great Dane,https://www.akc.org/dog-breeds/great-dane/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232617/Great-Dane-Care.jpg,Working Group,"140-175 pounds (male), 110-140 pounds (female)","30-32 inches (male), 28-30 inches (female)",7-10 years,"['Friendly', ' Patient', ' Dependable']",http://images.akc.org/pdf/breeds/standards/GreatDane.pdf,Ranks 16 of 195
124,Great Pyrenees,https://www.akc.org/dog-breeds/great-pyrenees/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232533/Great-Pyrenees-Care.jpg,Working Group,"100 pounds & up (male), 85 pounds & up (female)","27-32 inches (male), 25-29 inches (female)",10-12 years,"['Smart', ' Patient', ' Calm']",http://images.akc.org/pdf/breeds/standards/GreatPyenees.pdf,Ranks 66 of 195
125,Greater Swiss Mountain Dog,https://www.akc.org/dog-breeds/greater-swiss-mountain-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232513/Greater-Swiss-Mountain-Dog-Care.jpg,Working Group,"115-140 pounds (male), 85-110 pounds (female)","25.5-28.5 inches (male), 23.5-27 inches (female)",8-11 years,"['Faithful', ' Family-Oriented', ' Dependable']",http://images.akc.org/pdf/breeds/standards/GreaterSwissMountainDog.pdf,Ranks 74 of 195
126,Greyhound,https://www.akc.org/dog-breeds/greyhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17171238/Greyound.jpg,Hound Group,"65-70 pounds (male), 60-65 pounds (female)","28-30 inches (male), 27-28 inches (female)",10-13 years,"['Gentle', ' Independent', ' Noble']",http://images.akc.org/pdf/breeds/standards/Greyhound.pdf,Ranks 145 of 195
127,Hamiltonstovare,https://www.akc.org/dog-breeds/hamiltonstovare/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19192334/Hamiltonstovare-head-portrait-outdoors.jpg,Foundation Stock Service,40-75 pounds,19-24 inches,14-17 years,"['Agile', ' Versatile', ' Regal']",http://www.fci.be/Nomenclature/Standards/132g06-en.pdf,
128,Hanoverian Scenthound,https://www.akc.org/dog-breeds/hanoverian-scenthound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03190459/Hanoverian-Scenthound.3.jpg,Foundation Stock Service,79-99 pounds,19-21 inches,10-14 years,"['Loyal', ' Independent', ' Calm']",http://www.fci.be/Nomenclature/Standards/213g06-en.pdf,
129,Harrier,https://www.akc.org/dog-breeds/harrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22161426/Harrier-CARE2.jpg,Hound Group,45-60 pounds,19-21 inches,12-15 years,"['Friendly', ' Outgoing', ' People-Oriented']",http://images.akc.org/pdf/breeds/standards/Harrier.pdf,Ranks 189 of 195
130,Havanese,https://www.akc.org/dog-breeds/havanese/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232313/Havanese-Care.jpg,Toy Group,7-13 pounds,8.5-11.5 inches,14-16 years,"['Intelligent', ' Outgoing', ' Funny']",http://images.akc.org/pdf/breeds/standards/Havanese.pdf,Ranks 24 of 195
131,Hokkaido,https://www.akc.org/dog-breeds/hokkaido/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30144751/Hokkaido-care1.jpg,Foundation Stock Service,44-66 pounds,18-20 inches,12-15 years,"['Dignified', ' Alert', ' Devoted']",http://www.fci.be/Nomenclature/Standards/261g05-en.pdf,
132,Hovawart,https://www.akc.org/dog-breeds/hovawart/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12192751/Hovawart-Care.jpg,Foundation Stock Service,65-90 pounds,23-28 inches,10-14 years,"['Alert', ' Faithful', ' Intelligent']",http://www.fci.be/Nomenclature/Standards/190g02-en.pdf,
133,Ibizan Hound,https://www.akc.org/dog-breeds/ibizan-hound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232235/Ibizan-Hound-Care.jpg,Hound Group,"50 pounds (male), 45 pounds (female)","23.5-27.5 inches (male), 22.5-26 inches (female)",11-14 years,"['Family-Oriented', ' Even-Tempered', ' Polite']",http://images.akc.org/pdf/breeds/standards/IbizanHound.pdf,Ranks 152 of 195
